iso3,celdas_broad,celdas_narrow,celdas_otro,anios_broad,anios_narrow,anios_otro,cobertura
ALB,99,513,1026,3,3,3,narrow
AUT,391,1977,3747,12,12,12,narrow
BEL,396,2046,4062,12,12,12,narrow
BGR,390,2022,3432,12,12,12,narrow
BIH,198,684,708,6,4,6,narrow
CHE,391,1932,3771,12,12,12,narrow
CYP,390,1908,3432,12,12,12,narrow
CZE,390,1902,3432,12,12,12,narrow
DEU,396,2046,4062,12,12,12,narrow
DNK,386,1908,3432,12,12,12,narrow
ESP,396,2052,2978,12,12,12,narrow
EST,396,2049,4080,12,12,12,narrow
FIN,396,2052,3426,12,12,12,narrow
FRA,386,1894,3411,12,12,12,narrow
GBR,225,963,1382,7,7,7,narrow
GEO,33,0,6,1,0,1,solo_broad
GRC,396,2046,4065,12,12,12,narrow
HRV,393,1935,3433,12,12,12,narrow
HUN,396,2046,4062,12,12,12,narrow
IRL,396,2046,4068,12,12,12,narrow
ISL,396,2025,3438,12,12,12,narrow
ITA,396,1822,3646,12,12,12,narrow
LIE,324,1620,2748,10,10,10,narrow
LTU,390,1908,3426,12,12,12,narrow
LUX,393,1974,3747,12,12,12,narrow
LVA,386,1902,3432,12,12,12,narrow
MKD,390,1902,3432,12,12,12,narrow
MLT,390,1908,3432,12,12,12,narrow
MNE,110,570,1165,4,4,8,narrow
NLD,366,1366,2306,12,12,12,narrow
NOR,396,2046,4086,12,12,12,narrow
POL,379,1855,3429,12,12,12,narrow
PRT,396,2052,4104,12,12,12,narrow
ROU,390,1908,3429,12,12,12,narrow
SRB,360,1806,3418,11,11,11,narrow
SVK,386,1908,3432,12,12,12,narrow
SVN,396,2052,402,12,12,12,narrow
SWE,390,1905,3429,12,12,12,narrow
TUR,360,1818,2418,11,11,11,narrow
