spu_disciplina,spu_rama,iscedf_narrow,iscedf_label,confianza,nota
Arquitectura y Diseño,Ciencias Aplicadas,F073,Architecture and construction,media,"Arquitectura es claramente F073; Diseño (gráfico, industrial, indumentaria) en ISCED-F es 0212 → F021 (Arts). El agregado SPU está dominado por arquitectura, pero sobreestima F073."
Astronomía,Ciencias Aplicadas,F053,Physical sciences,alta,"Astronomía es 0533 (física y astronomía) → F053."
Bioquímica y Farmacia,Ciencias Aplicadas,F091,Health,media,"Farmacia es 0916 → F091. Bioquímica podría ir a 0512 → F051 (Biological sciences). Se prioriza el perfil profesional sanitario de ambas carreras en Argentina."
Ciencias Agropecuarias,Ciencias Aplicadas,F081,Agriculture,alta,
Ciencias del Suelo,Ciencias Aplicadas,F081,Agriculture,media,"Edafología: cercana a agronomía (F081) pero también a ciencias de la tierra (0532 → F053). Volumen chico; revisar si distorsiona."
Estadística,Ciencias Aplicadas,F054,Mathematics and statistics,alta,
Industrias,Ciencias Aplicadas,F072,Manufacturing and processing,baja,"Revisado 2026-07-24: la SPU tiene 'Ingeniería' como disciplina separada (→F071), así que 'Industrias' recoge sobre todo procesamiento/producción y tecnología de alimentos (0721 → F072); F072 es la mejor aproximación. Se mantiene baja (3,4% de egresados ARG, volumen material) hasta cotejar con el nomenclador de carreras de la SPU: puede arrastrar ingeniería industrial (F071)."
Informática,Ciencias Aplicadas,F061,Information and communication technologies,alta,
Ingeniería,Ciencias Aplicadas,F071,Engineering and engineering trades,alta,"El agregado SPU incluye especialidades que ISCED reparte entre F071, F072 y F073 (p. ej. ing. en construcciones), pero el grueso es F071."
Meteorología,Ciencias Aplicadas,F053,Physical sciences,alta,"Ciencias de la atmósfera es 0532 (ciencias de la tierra) → F053."
Otras Ciencias Aplicadas,Ciencias Aplicadas,F079,"Engineering, manufacturing and construction not elsewhere classified",media,"Revisado 2026-07-24: categoría residual de la rama SPU Ciencias Aplicadas (≈ campo ISCED 07). F079 es el residual del mismo campo amplio, mapeo correcto por construcción; la composición interna no es auditable desde la fuente. Volumen chico (0,1%)."
Biología,Ciencias Básicas,F051,Biological and related sciences,alta,
Física,Ciencias Básicas,F053,Physical sciences,alta,
Matemática,Ciencias Básicas,F054,Mathematics and statistics,alta,
Química,Ciencias Básicas,F053,Physical sciences,alta,"Química es 0531 → F053 (Physical sciences); no confundir con F051."
Medicina,Ciencias de la Salud,F091,Health,alta,
Odontología,Ciencias de la Salud,F091,Health,alta,"Odontología es 0911 → F091."
Paramédicas y Auxiliares de la Medicina,Ciencias de la Salud,F091,Health,alta,"Enfermería (0913) y tecnicaturas médicas (0914) caen todas dentro de F091."
Salud Pública,Ciencias de la Salud,F091,Health,media,"Salud pública/sanitarismo suele clasificarse en 0919 (F091, Health n.c.p.); una lectura de servicios sanitarios la llevaría a F102. Se asigna F091."
Sanidad,Ciencias de la Salud,F102,Hygiene and occupational health services,baja,"Revisado 2026-07-24: la SPU ya lista 'Salud Pública' por separado (→F091), lo que sugiere que 'Sanidad' es lo distinto —higiene y seguridad ocupacional→ F102; pero es cara o ceca entre F091 y F102. Se mantiene baja (0,2% de egresados ARG) hasta cotejar las carreras exactas en el nomenclador de la SPU."
Veterinaria,Ciencias de la Salud,F084,Veterinary,alta,
Arqueología,Ciencias Humanas,F022,Humanities (except languages),alta,"Historia y arqueología es 0222 → F022."
Artes,Ciencias Humanas,F021,Arts,alta,
Educación,Ciencias Humanas,F011,Education,alta,
Filosofía,Ciencias Humanas,F022,Humanities (except languages),alta,"Filosofía y ética es 0223 → F022."
Historia,Ciencias Humanas,F022,Humanities (except languages),alta,
Letras e Idiomas,Ciencias Humanas,F023,Languages,alta,"Idiomas (0231) y literatura/lingüística (0232) caen ambas en F023."
